time,event,p1,p2
0.17289457427623775,3,168,146.0
0.24588201991528824,3,247,322.0
0.24880139733834855,3,280,138.0
0.37381447390562833,6,270,284.0
0.38950963461419563,6,421,489.0
0.5022180587975492,3,70,409.0
0.5227834000076855,6,406,281.0
0.551661322872759,3,243,209.0
0.6793609665797333,3,195,139.0
1.0180095773125208,3,139,426.0
1.047776600181514,3,369,101.0
1.160763644614066,3,326,17.0
1.1670918828114671,3,16,111.0
1.3547378575969449,3,488,19.0
1.3753408305245345,3,151,225.0
1.3867972647580422,3,470,256.0
1.4767070653794232,3,356,432.0
1.537166838727102,3,492,326.0
1.5593622862905878,3,89,130.0
1.697106547806832,3,59,408.0
1.7689591436300514,3,235,155.0
1.8068736986014216,6,123,159.0
1.9259592192378394,3,257,291.0
1.9933840559715665,9,439,
2.0588298941980536,6,308,404.0
2.180110909804114,3,220,152.0
2.209474921149093,3,337,377.0
2.2155878679760264,1,160,439.0
2.2789753707096385,3,108,418.0
2.6702236852544536,3,348,453.0
2.9238346671538364,6,78,116.0
3.0983422179013695,3,354,212.0
3.264503586227102,1,454,439.0
3.4901795900673944,6,308,450.0
3.7122284605929172,3,355,90.0
3.851291759966704,3,101,236.0
3.8817576696622,3,437,420.0
3.897987601022444,6,298,288.0
3.9349387172491284,3,306,36.0
4.119494787395699,3,96,43.0
4.149405652089387,3,38,293.0
4.253344352106733,3,257,389.0
4.257150599676147,1,294,439.0
4.350436169357504,3,137,368.0
4.440732679127276,3,23,166.0
4.481661681316499,3,393,296.0
4.660420383608466,3,160,459.0
4.857911248152093,6,415,427.0
4.909574315883089,1,496,439.0
5.030577205241692,10,160,
5.1739845933420625,6,148,2.0
5.227500943325775,3,46,117.0
5.25551580185513,3,293,205.0
5.260750064388922,3,237,171.0
5.272917435643872,1,151,439.0
5.405793047779356,1,480,160.0
5.486729380906555,1,378,160.0
5.558963492202971,3,212,301.0
5.573883864723949,3,103,417.0
5.705309777338288,3,413,294.0
5.73701046055586,3,361,140.0
5.919449835169188,3,479,92.0
5.948303116762565,10,480,
6.196600300826107,6,306,148.0
6.200814871348872,1,106,160.0
6.566776135668275,3,311,285.0
6.592105869818622,3,175,153.0
6.646585198826722,6,359,176.0
6.8413703445848535,3,101,337.0
6.967801716689936,1,85,480.0
7.009241703807107,3,102,145.0
7.050809985588199,2,439,
7.101208423403651,10,294,
7.225532793972706,3,488,451.0
7.507232884934744,3,359,214.0
7.534797955128992,1,6,294.0
7.549676996771741,1,131,480.0
7.565541074078166,3,486,320.0
7.623019394677073,10,454,
7.6267639987222795,3,172,130.0
7.654777676246169,3,348,467.0
7.676642161750221,3,429,143.0
7.737044996504795,3,409,36.0
7.758520477077121,1,385,480.0
7.812311856552721,1,332,454.0
7.813803464207022,3,156,228.0
7.840638549132813,1,473,454.0
7.9483138995315565,2,294,
7.954121414806684,1,373,160.0
7.98814327203391,3,269,494.0
7.991335462984247,1,340,454.0
8.004429118021173,3,183,226.0
8.09578519352547,3,80,40.0
8.271436380367357,3,186,42.0
8.335653167129273,10,332,
8.433211669649072,3,95,230.0
8.496872005721475,1,212,332.0
8.581795776433927,1,158,454.0
8.687774028163279,1,66,332.0
8.736964670164555,2,454,
8.74181178207214,1,111,160.0
8.795195788864746,6,141,147.0
8.89069688019252,6,490,149.0
8.909136373440148,1,269,332.0
8.96289639428398,3,289,75.0
9.021963324610674,3,379,304.0
9.049831692461256,3,190,172.0
9.112997447013992,9,151,
9.22755397692191,3,314,137.0
9.244374295779968,10,496,
9.246869891790647,1,366,480.0
9.252558486411571,3,93,498.0
9.419921346234375,1,115,480.0
9.430793580447457,3,319,86.0
9.431247529332536,1,12,151.0
9.440718035844224,10,85,
9.44632056259412,1,400,332.0
9.473291764989058,3,457,17.0
9.556649187567483,1,349,332.0
9.58923089384689,1,205,85.0
9.609903736148599,1,200,496.0
9.611247376566412,1,331,496.0
9.698176292982978,3,137,138.0
9.699364343250213,9,200,
9.727874940828485,1,285,151.0
9.744170753782036,1,225,151.0
9.773467982579257,6,238,152.0
9.777098605863934,1,150,200.0
9.799586452664064,3,136,331.0
9.810125432252041,3,149,476.0
9.81698629401498,1,34,151.0
9.842842847817781,6,196,330.0
9.897939932406347,9,378,
9.951514944866469,3,458,483.0
9.97957729177409,2,332,
10.011770435391085,9,400,
10.024819864574386,1,13,378.0
10.028896992072534,3,341,45.0
10.113388161298621,3,445,285.0
10.352481380669976,6,113,329.0
10.443084230261555,10,373,
10.502051078578951,1,481,85.0
10.506126321856229,1,25,496.0
10.507342771581154,1,337,200.0
10.599778028048878,3,491,295.0
10.606341012476948,1,146,496.0
10.622283376655119,1,380,200.0
10.652159039100862,10,481,
10.683427303153712,1,360,496.0
10.752990178937761,1,382,400.0
10.757779725201784,1,57,160.0
10.847113452764775,1,30,496.0
10.850881580809888,10,366,
10.90187575740369,9,13,
10.947087793601549,1,121,400.0
10.954367785712725,1,206,366.0
11.041937869372587,1,452,378.0
11.06013639656148,10,150,
11.078205004812895,1,45,481.0
11.078767776917887,6,139,2.0
11.083001319836626,10,285,
11.163732074478164,9,382,
11.222974260909448,1,248,285.0
11.224280778597855,4,382,128.0
11.234486843458491,10,121,
11.271727197537222,6,478,401.0
11.315313065645634,1,355,285.0
11.334477177499554,1,498,400.0
11.424613840988922,1,384,373.0
11.46326998679275,6,314,92.0
11.497326681199585,1,379,373.0
11.524347843520934,3,47,127.0
11.528638773879146,1,440,400.0
11.570316893011606,1,404,366.0
11.572428842709478,1,254,150.0
11.596527570362067,1,252,13.0
11.613581919168551,10,57,
11.64828534349142,1,228,373.0
11.65617182255723,2,121,
11.684074296955806,1,64,378.0
11.772232639610307,1,213,285.0
11.782077795210586,9,254,
11.79129952382274,1,216,150.0
11.81430373757318,6,8,428.0
11.906924125212548,10,452,
11.977922906558364,1,276,57.0
11.999247408165957,1,435,480.0
12.001835408867235,6,293,118.0
12.009960634486614,1,123,200.0
12.047212261106436,1,398,496.0
12.053555108813411,1,78,151.0
12.066113558207327,10,212,
12.1111323013503,1,424,85.0
12.151050479603029,1,335,57.0
12.152273045104767,10,45,
12.16068820849033,3,50,267.0
12.188042437326637,3,448,215.0
12.212149725816701,1,446,212.0
12.246608546474917,1,431,382.0
12.253255478708722,1,153,151.0
12.255399399942046,1,253,85.0
12.2605980242895,1,192,285.0
12.280562412615534,1,54,13.0
12.283123337480284,1,68,378.0
12.311745785815068,3,348,411.0
12.34406627856469,1,309,212.0
12.353014277582202,1,368,382.0
12.371963990876752,9,431,
12.409488239330745,3,342,352.0
12.415210295006153,10,205,
12.42711685460952,1,461,151.0
12.428430219650647,1,311,285.0
12.48109902905849,10,192,
12.489989042079001,2,205,
12.491013159396891,3,9,153.0
12.498113190878525,1,69,382.0
12.53512587810823,1,341,192.0
12.574191936655053,1,350,45.0
12.5809829138169,1,490,57.0
12.586064853809455,1,88,373.0
12.59325669777649,1,138,212.0
12.621345707584602,6,423,156.0
12.63654212189738,1,14,480.0
12.753984410003413,1,319,431.0
12.779846097742391,9,216,
12.796173978465081,1,372,85.0
12.845464350992247,1,287,212.0
12.871031917818287,10,66,
12.888429320061736,1,436,496.0
12.90142928659843,1,148,66.0
12.911981151271936,1,449,192.0
12.924912234779876,10,68,
12.927328298863424,1,298,366.0
12.927741649130839,9,436,
12.976732139712201,1,316,285.0
13.02541774874147,9,350,
13.044020568732957,1,293,66.0
13.050165488780555,1,82,57.0
13.059177625715643,9,248,
13.06400913400782,1,427,85.0
13.084871945828542,1,389,200.0
13.086845740711249,1,448,150.0
13.087545452581237,3,302,73.0
13.093643597211237,3,287,355.0
13.12747127067208,2,496,
13.136527065651604,1,162,151.0
13.157684395390476,1,28,248.0
13.160078367184303,3,174,473.0
13.166393454472862,9,64,
13.171800030390528,9,337,
13.224344762120072,2,382,
13.258076461580828,1,230,436.0
13.270449387066881,6,37,290.0
13.30822699806685,1,262,373.0
13.343645489992792,1,103,13.0
13.356671103675268,1,278,452.0
13.35852648056153,1,137,68.0
13.375819523577368,9,123,
13.42397634882151,1,283,337.0
13.427469347379837,3,220,35.0
13.441027196185981,1,304,200.0
13.470984795555522,1,183,13.0
13.502300438332009,9,115,
13.516391250513815,1,445,200.0
13.519013805120364,1,485,64.0
13.545845569182426,9,34,
13.560722427228711,10,398,
13.571093995168773,1,235,254.0
13.572250313224188,1,70,212.0
13.58079467820715,10,445,
13.611362413209891,4,34,121.0
13.611979366175957,4,64,327.0
13.638122779705576,1,328,192.0
13.640854092701739,1,463,366.0
13.645861899245027,3,446,233.0
13.680014446352176,1,442,436.0
13.694431239390573,1,84,452.0
13.713501781438808,1,170,150.0
13.726136904434428,9,341,
13.735011773987189,3,42,145.0
13.738881766875389,9,30,
13.750368329184504,1,464,123.0
13.766325102908755,9,170,
13.781077625367798,1,426,480.0
13.798547537309974,1,412,216.0
13.816245013675918,1,392,436.0
13.817799293073454,1,101,337.0
13.818506673134577,2,398,
13.863156343743539,1,348,192.0
13.867197422524741,1,16,68.0
13.873740373898583,1,375,150.0
13.874278943598629,9,6,
13.895573967299619,2,13,
13.900543405142278,1,437,45.0
13.910602089515494,9,389,
13.915345346517961,10,278,
13.935800913413262,3,448,72.0
13.939284180531574,1,263,341.0
13.979702503012568,9,442,
